id_curriculo;codigo;nome_matriz;id_curso;nome_curso;semestre_conclusao_minimo;semestre_conclusao_ideal;semestre_conclusao_maximo;meses_conclusao_minimo;meses_conclusao_ideal;meses_conclusao_maximo;cr_total_minimo;ch_total_minima;ch_optativas_minima;max_eletivos;ch_nao_atividade_obrigatoria;cr_nao_atividade_obrigatorio;ch_atividade_obrigatoria;cr_minimo_semestre;cr_maximo_semestre;ch_minima_semestre;ch_maxima_semestre;periodo_entrada_vigor;ano_entrada_vigor;observacao
141;2291/-3;CIÊNCIAS NATURAIS                                                      - BRASÍLIA -  - N - Licenciado;702703;CIÊNCIAS NATURAIS                                                     ;7;12;16;;;;4;3135;720;360;2205;4;0;;;210;480;1;2013;
390;6912/1;ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO - BRASÍLIA -  - MT - Engenheiro de Controle e Automação;414333;ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO;8;10;18;;;;0;4110;1755;360;2355;0;0;;;240;510;2;2018;
54;3859/-3;GEOGRAFIA - BRASÍLIA -  - MT - Licenciado;414731;GEOGRAFIA;6;10;14;;;;4;2520;780;360;1740;4;0;;;195;450;1;2005;
142;2291/-4;CIÊNCIAS NATURAIS                                                      - BRASÍLIA -  - N - Licenciado;702703;CIÊNCIAS NATURAIS                                                     ;7;12;16;;;;4;3135;780;360;2145;4;0;;;210;480;2;2009;
274;5509/-2;MÚSICA - BRASÍLIA -  - MT - Licenciado;414430;MÚSICA;8;10;12;;;;0;3015;750;360;2265;0;0;;;285;495;1;2014;
66;4553/-2;LETRAS - LÍNGUA E LITERATURA JAPONESA - BRASÍLIA -  - N - Licenciado;414779;LETRAS - LÍNGUA E LITERATURA JAPONESA;7;11;15;;;;0;2400;780;360;1620;0;0;;;180;360;1;2005;
355;1856/1;CIÊNCIA DA COMPUTAÇÃO - BRASÍLIA -  - MT - Bacharel;414599;CIÊNCIA DA COMPUTAÇÃO;8;9;14;;;;0;3210;1110;360;2100;0;0;;;240;450;2;2018;
229;60836/-2;ENGENHARIA AEROESPACIAL - BRASÍLIA -  - MT - Bacharel;414916;ENGENHARIA AEROESPACIAL;10;10;18;;;;0;3930;1380;360;2550;0;0;;;240;450;1;2012;
356;1856/-2;CIÊNCIA DA COMPUTAÇÃO - BRASÍLIA -  - MT - Bacharel;414599;CIÊNCIA DA COMPUTAÇÃO;8;9;14;;;;0;3210;1020;360;2190;0;0;;;240;450;1;2016;
408;2739/1;PSICOLOGIA - BRASÍLIA -  - MT - Psicólogo;414962;PSICOLOGIA;10;10;16;;;;0;4230;2640;360;1590;0;0;;;270;450;2;2017;
357;1899/1;COMPUTAÇÃO - BRASÍLIA -  - N - Licenciado;414608;COMPUTAÇÃO;6;9;16;;;;0;3210;750;360;2340;0;0;;;180;450;1;2016;
343;7137/-2;FISIOTERAPIA - BRASÍLIA -  - MT - Bacharel;414908;FISIOTERAPIA;10;10;18;;;;0;4500;1980;360;2250;0;0;;;240;450;1;2015;
220;7510/-2;NUTRIÇÃO - BRASÍLIA -  - MT - Nutricionista;414314;NUTRIÇÃO;6;8;14;;;;1;3600;1245;360;2355;1;0;;;270;600;1;2012;
316;2721/-4;PSICOLOGIA - BRASÍLIA -  - MT - Licenciado;414961;PSICOLOGIA;8;11;14;;;;42;3450;1890;360;1560;42;0;;;255;450;1;2014;
162;5606/-2;MÚSICA - BRASÍLIA -  - N - Licenciado;414460;MÚSICA;8;11;14;;;;0;2850;1440;360;1410;0;0;;;210;360;2;2009;
300;2291/-2;CIÊNCIAS NATURAIS                                                      - BRASÍLIA -  - N - Licenciado;702703;CIÊNCIAS NATURAIS                                                     ;7;12;16;;;;4;3135;750;360;2175;4;0;;;210;480;1;2014;
82;2712/-5;PSICOLOGIA - BRASÍLIA -  - MT - Bacharel;414960;PSICOLOGIA;7;11;14;;;;6;3330;2490;360;840;6;0;;;225;480;1;2012;
145;5371/-4;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL - BRASÍLIA -  - MT - Bacharel;414436;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;7;10;12;;;;0;2880;1260;360;1620;0;0;;;240;450;2;2016;
481;7315/-2;EDUCAÇÃO FÍSICA - BRASÍLIA -  - MT - Licenciado;414274;EDUCAÇÃO FÍSICA;6;8;10;;;;2;2820;930;360;1680;2;0;;;300;480;1;2013;
104;8583/-4;CIÊNCIAS CONTÁBEIS - BRASÍLIA -  - N - Bacharel;414131;CIÊNCIAS CONTÁBEIS;10;12;14;;;;12;2790;990;360;1800;12;0;;;210;420;1;2008;
136;6289/-4;ENGENHARIA DE ENERGIA - BRASÍLIA -  - MT - Bacharel;414922;ENGENHARIA DE ENERGIA;10;10;16;;;;0;3825;1845;360;1980;0;0;;;240;480;2;2008;
135;6289/-3;ENGENHARIA DE ENERGIA - BRASÍLIA -  - MT - Bacharel;414922;ENGENHARIA DE ENERGIA;10;10;16;;;;0;3825;1845;360;1980;0;0;;;240;480;2;2013;
233;3115/-4;CIÊNCIAS SOCIAIS - BRASÍLIA -  - MT - Bacharel;414404;CIÊNCIAS SOCIAIS;6;10;14;;;;12;2520;1530;360;990;12;0;;;195;450;2;2016;
58;4154/1;LETRAS - LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA - BRASÍLIA -  - N - Licenciado;414782;LETRAS - LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA;8;12;16;;;;0;2550;480;360;2070;0;0;;;180;420;2;2015;
414;2721/1;PSICOLOGIA - BRASÍLIA -  - MT - Licenciado;414961;PSICOLOGIA;8;11;14;;;;0;3600;2010;360;1590;0;0;;;255;450;2;2017;
351;7145/-2;TERAPIA OCUPACIONAL - BRASÍLIA -  - MT - Bacharel;414914;TERAPIA OCUPACIONAL;8;10;12;;;;0;3510;810;360;2550;0;0;;;300;450;2;2015;
461;3115/1;CIÊNCIAS SOCIAIS - BRASÍLIA -  - MT - Bacharel;414404;CIÊNCIAS SOCIAIS;6;10;14;;;;12;2520;1530;360;990;12;0;;;195;450;2;2019;
462;3115/-2;CIÊNCIAS SOCIAIS - BRASÍLIA -  - MT - Bacharel;414404;CIÊNCIAS SOCIAIS;6;10;14;;;;12;2520;1530;360;990;12;0;;;195;450;1;2019;
140;6360/-2;ENGENHARIA DE SOFTWARE - BRASÍLIA -  - MT - Bacharel;414924;ENGENHARIA DE SOFTWARE;10;10;16;;;;0;3600;1470;360;2130;0;0;;;240;480;2;2008;
257;2216/-5;CIÊNCIAS BIOLÓGICAS - BRASÍLIA -  - MT - Bacharel;414391;CIÊNCIAS BIOLÓGICAS;8;11;14;;;;0;3210;1770;360;1440;0;0;;;240;450;1;2014;
299;2283/-2;CIÊNCIAS NATURAIS                                                      - BRASÍLIA -  - MT - Licenciado;702702;CIÊNCIAS NATURAIS                                                     ;6;11;16;;;;4;3135;750;360;2175;4;0;;;210;510;1;2014;
10;6165/-5;AGRONOMIA - BRASÍLIA -  - MT - Engenheiro Agrônomo;414196;AGRONOMIA;8;11;14;;;;10;3930;1620;360;2310;10;0;;;300;480;2;2000;
482;3336/-5;FILOSOFIA - BRASÍLIA -  - MT - Bacharel;414713;FILOSOFIA;6;10;14;;;;0;2220;1620;360;600;0;0;;;210;390;1;2012;
4005591;4936/-2;ARTES VISUAIS - BRASÍLIA -  - MT - Licenciado;434774;ARTES VISUAIS;8;8;12;;;;0;3195;1305;360;1890;0;0;;;315;480;2;2007;
164;6017/-3;ENGENHARIA DE PRODUÇÃO - BRASÍLIA -  - N - Bacharel;414326;ENGENHARIA DE PRODUÇÃO;10;14;18;;;;4;3600;1335;360;2265;4;0;;;180;420;2;2009;
1;1716/-4;ESTATÍSTICA - BRASÍLIA -  - MT - Bacharel;414620;ESTATÍSTICA;7;12;16;;;;0;2760;1380;360;1380;0;0;;;225;420;2;1997;
26;7111/-4;MEDICINA - BRASÍLIA -  - MT - Médico;414280;MEDICINA;10;14;18;;;;0;7095;3435;360;3660;0;0;;;285;570;1;2004;
178;6254/-3;ENGENHARIA AMBIENTAL - BRASÍLIA -  - MT - Engenheiro;414345;ENGENHARIA AMBIENTAL;10;14;18;;;;0;3900;1455;360;2445;0;0;;;240;480;1;2010;
80;6912/-3;ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO - BRASÍLIA -  - MT - Engenheiro de Controle e Automação;414333;ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO;8;10;18;;;;0;4110;1725;360;2385;0;0;;;240;510;1;2005;
311;1716/-3;ESTATÍSTICA - BRASÍLIA -  - MT - Bacharel;414620;ESTATÍSTICA;8;8;16;;;;0;3000;1110;360;1890;0;0;;;210;420;1;2014;
