curso_pibic_norm,campus,linha_pesquisa_norm,total_projetos,total_remuneradas,total_voluntarias_pivic,total_cotistas,total_cotistas_ppi,total_baixa_renda,valor_total_investido,taxa_cotistas_pct,taxa_voluntario_pct
MEDICINA,DARCY RIBEIRO,SAUDE E VIDA,551,349,167,252,252,114,1761600.0,45.7,30.3
CIENCIAS BIOLOGICAS,DARCY RIBEIRO,SAUDE E VIDA,488,362,89,185,185,79,1773600.0,37.9,18.2
DIREITO,DARCY RIBEIRO,ARTES E HUMANIDADE,448,228,201,188,188,105,1101600.0,42.0,44.9
AGRONOMIA,DARCY RIBEIRO,SAUDE E VIDA,369,288,50,156,156,42,1422000.0,42.3,13.6
FISIOTERAPIA,FCE - CEILANDIA,SAUDE E VIDA,367,230,106,149,149,69,1104000.0,40.6,28.9
ARQUITETURA E URBANISMO,DARCY RIBEIRO,ARTES E HUMANIDADE,357,237,109,137,137,38,1144800.0,38.4,30.5
FARMACIA,FCE - CEILANDIA,SAUDE E VIDA,344,229,94,110,110,42,1124400.0,32.0,27.3
HISTORIA,DARCY RIBEIRO,ARTES E HUMANIDADE,307,194,98,130,130,51,960000.0,42.3,31.9
FARMACIA,DARCY RIBEIRO,SAUDE E VIDA,296,228,50,129,129,51,1126800.0,43.6,16.9
ENFERMAGEM,DARCY RIBEIRO,SAUDE E VIDA,293,220,61,172,172,84,1077600.0,58.7,20.8
ENFERMAGEM,FCE - CEILANDIA,SAUDE E VIDA,292,219,59,130,130,52,1090800.0,44.5,20.2
MEDICINA VETERINARIA,DARCY RIBEIRO,SAUDE E VIDA,281,184,73,112,112,58,926400.0,39.9,26.0
GEOLOGIA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,249,164,57,84,84,37,862800.0,33.7,22.9
ODONTOLOGIA,DARCY RIBEIRO,SAUDE E VIDA,243,172,47,114,114,43,843600.0,46.9,19.3
BIOTECNOLOGIA,DARCY RIBEIRO,SAUDE E VIDA,243,167,51,68,68,19,805200.0,28.0,21.0
PEDAGOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,237,174,53,126,126,49,860400.0,53.2,22.4
FISICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,237,157,58,72,72,43,796800.0,30.4,24.5
FILOSOFIA,DARCY RIBEIRO,ARTES E HUMANIDADE,218,135,72,92,92,39,666000.0,42.2,33.0
CIENCIAS SOCIAIS,DARCY RIBEIRO,ARTES E HUMANIDADE,209,158,46,98,98,32,765600.0,46.9,22.0
ENGENHARIA CIVIL,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,186,129,45,78,78,32,622800.0,41.9,24.2
ENGENHARIA AEROESPACIAL,FGA - GAMA,EXATAS E TECNOLOGICAS,185,131,42,58,58,7,628800.0,31.4,22.7
SERVICO SOCIAL,DARCY RIBEIRO,ARTES E HUMANIDADE,173,132,38,76,76,24,651600.0,43.9,22.0
FONOAUDIOLOGIA,FCE - CEILANDIA,SAUDE E VIDA,160,97,49,76,76,27,465600.0,47.5,30.6
ENGENHARIA FLORESTAL,DARCY RIBEIRO,SAUDE E VIDA,154,120,23,59,59,11,597600.0,38.3,14.9
ENGENHARIA QUIMICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,152,108,29,48,48,16,561600.0,31.6,19.1
ENGENHARIA MECANICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,152,119,23,37,37,16,589200.0,24.3,15.1
PSICOLOGIA,DARCY RIBEIRO,ARTES E HUMANIDADE,151,100,39,60,60,25,490800.0,39.7,25.8
QUIMICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,146,99,35,34,34,5,507600.0,23.3,24.0
ENGENHARIA ELETRICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,140,98,32,34,34,15,499200.0,24.3,22.9
LINGUA PORTUGUESA E RESPECTIVA LITERATURA,DARCY RIBEIRO,ARTES E HUMANIDADE,134,82,52,56,56,16,393600.0,41.8,38.8
GEOGRAFIA,DARCY RIBEIRO,ARTES E HUMANIDADE,122,65,50,69,69,33,322800.0,56.6,41.0
ENGENHARIA ELETRONICA,FGA - GAMA,EXATAS E TECNOLOGICAS,121,89,26,39,39,14,434400.0,32.2,21.5
MATEMATICA,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,119,83,29,44,44,8,405600.0,37.0,24.4
NUTRICAO,DARCY RIBEIRO,SAUDE E VIDA,118,96,14,40,40,19,489600.0,33.9,11.9
ENGENHARIA AMBIENTAL,DARCY RIBEIRO,EXATAS E TECNOLOGICAS,115,92,16,30,30,15,441600.0,26.1,13.9
ARTES VISUAIS,DARCY RIBEIRO,ARTES E HUMANIDADE,113,83,23,38,38,12,402000.0,33.6,20.4
ENGENHARIA DE SOFTWARE,FGA - GAMA,EXATAS E TECNOLOGICAS,112,86,23,36,36,13,412800.0,32.1,20.5
CIENCIAS CONTABEIS,DARCY RIBEIRO,ARTES E HUMANIDADE,106,56,42,44,44,22,268800.0,41.5,39.6
