curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
ENGENHARIA,UNB - FACULDADE DO GAMA,FACULDADE DO GAMA,MATUTINO E VESPERTINO,OUTRA,BACHAREL,1.0,5.0,3.0,3750,1527,40,1130,2.62,74.0,0.0,0.0,100.0,100.0,12.48,12.0,7.48,98.4,RETENÇÃO CRÍTICA,29,25.0,3.0,11.0,120000.0,1.9
FISICA COMPUTACIONAL,INSTITUTO DE FISICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,6.0,9.0,12.0,2670,21,4,16,19.05,76.19,25.0,25.0,75.0,75.0,13.25,15.0,4.25,78.4,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
MUSICA - TROMBONE,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,6,2,4,33.33,66.67,0.0,0.0,100.0,100.0,12.0,12.0,4.0,69.6,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
MUSICA - PIANO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,10,5,5,50.0,50.0,0.0,0.0,100.0,80.0,12.8,13.0,4.8,62.4,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
MUSICA - VIOLAO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,15,4,9,26.67,60.0,0.0,0.0,100.0,75.0,11.5,10.5,3.5,61.2,RETENÇÃO CRÍTICA,0,,,,0.0,0.0
CIENCIA DA COMPUTACAO,DEPARTAMENTO DE CIENCIA DA COMPUTACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS EXATAS E DA TERRA,BACHAREL,8.0,9.0,14.0,3210,629,142,372,22.58,59.14,7.04,11.27,88.73,35.21,12.37,12.0,3.37,59.7,RETENÇÃO CRÍTICA,93,61.0,26.0,36.0,318000.0,14.79
LINGUAS ESTRANGEIRAS APLICADAS - MSI,DEPARTAMENTO DE LINGUAS ESTRANGEIRAS E TRADUCAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,8.0,8.0,16.0,2880,362,95,218,26.24,60.22,9.47,9.47,90.53,7.37,11.08,10.0,3.08,58.6,RETENÇÃO CRÍTICA,74,47.0,20.0,26.0,229200.0,20.44
MUSICA - CANTO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,12,4,8,33.33,66.67,25.0,25.0,75.0,75.0,10.25,11.5,2.25,57.9,RETENÇÃO CRÍTICA,2,2.0,0.0,0.0,9600.0,16.67
COMPUTACAO,DEPARTAMENTO DE CIENCIA DA COMPUTACAO,DARCY RIBEIRO,NOTURNO,CIENCIAS EXATAS E DA TERRA,LICENCIADO,6.5,9.0,16.0,3210,686,107,504,15.6,73.47,20.56,45.79,54.21,7.48,9.78,10.0,0.78,53.2,RETENÇÃO CRÍTICA,21,13.0,8.0,8.0,69600.0,3.06
FILOSOFIA,DEPARTAMENTO DE FILOSOFIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,6.0,10.0,14.0,3030,1133,225,767,19.86,67.7,4.89,44.44,55.56,19.11,11.03,11.0,1.03,50.5,RETENÇÃO CRÍTICA,222,136.0,75.0,92.0,670800.0,19.59
"TEORIA, CRITICA E HISTORIA DA ARTE",INSTITUTO DE ARTES,DARCY RIBEIRO,NOTURNO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,8.0,10.0,12.0,2610,385,71,262,18.44,68.05,5.63,46.48,53.52,33.8,10.96,11.0,0.96,50.3,RETENÇÃO CRÍTICA,81,51.0,27.0,30.0,248400.0,21.04
LETRAS - LINGUA E LITERATURA JAPONESA,INSTITUTO DE LETRAS,DARCY RIBEIRO,NOTURNO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,7.0,11.0,15.0,2400,344,57,247,16.57,71.8,3.51,50.88,49.12,8.77,11.46,11.0,0.46,49.8,RETENÇÃO CRÍTICA,11,6.0,1.0,5.0,32400.0,3.2
MUSEOLOGIA,FACULDADE DE CIENCIA DA INFORMACAO,DARCY RIBEIRO,MATUTINO E VESPERTINO,OUTRA,BACHAREL,7.0,8.0,12.0,2535,396,131,201,33.08,50.76,3.05,12.98,87.02,30.53,10.71,11.0,2.71,49.0,RETENÇÃO CRÍTICA,77,49.0,24.0,26.0,235200.0,19.44
