id_curso,nome,id_coordenador,coordenador,situacao_curso,nivel_ensino,grau_academico,modalidade_educacao,area_conhecimento,tipo_oferta,turno,tipo_ciclo_formacao,municipio,campus,id_unidade_responsavel,unidade_responsavel,website,data_funcionamento,codigo_inep,dou,portaria_reconhecimento,convenio_academico,nome_curso_norm,turno_norm,campus_norm,grau_academico_norm,area_conhecimento_norm,unidade_responsavel_norm
414112,ADMINISTRAÇÃO,15381,Bigoloti Carrelo Coenga,ATIVO,,Bacharel,Presencial,Ciências Sociais Aplicadas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,327,DEPTO ADMINISTRAÇÃO,,2018-07-18,145,2017-04-04,271,,ADMINISTRACAO,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,CIENCIAS SOCIAIS APLICADAS,DEPTO ADMINISTRACAO
414099,ADMINISTRAÇÃO,12869,Schult Barbirato Deliberali,ATIVO,,Bacharel,Presencial,Ciências Sociais Aplicadas,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,327,DEPTO ADMINISTRAÇÃO,,2018-07-18,145,2017-04-04,271,,ADMINISTRACAO,NOTURNO,DARCY RIBEIRO,BACHAREL,CIENCIAS SOCIAIS APLICADAS,DEPTO ADMINISTRACAO
414196,AGRONOMIA,10463,Freimüller Shimada,ATIVO,,Engenheiro Agrônomo,Presencial,Ciências Agrárias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,363,FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA,,2017-12-26,135,1976-03-30,077346,,AGRONOMIA,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO AGRONOMO,CIENCIAS AGRARIAS,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA
414181,ARQUITETURA E URBANISMO,5593,Kudriavtzeva Pralon Labato Klôh,ATIVO,,Arquiteto e Urbanista,Presencial,Outra,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,353,FACULDADE DE ARQUITETURA E URBANISMO,,2016-03-02,1138293,2015-10-30,815,,ARQUITETURA E URBANISMO,NOTURNO,DARCY RIBEIRO,ARQUITETO E URBANISTA,OUTRA,FACULDADE DE ARQUITETURA E URBANISMO
414180,ARQUITETURA E URBANISMO,1138,Neponucena Lucacin Orou,ATIVO,,Arquiteto e Urbanista,Presencial,Ciências Sociais Aplicadas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,353,FACULDADE DE ARQUITETURA E URBANISMO,,2016-03-02,132,2015-12-30,1096,,ARQUITETURA E URBANISMO,MATUTINO E VESPERTINO,DARCY RIBEIRO,ARQUITETO E URBANISTA,CIENCIAS SOCIAIS APLICADAS,FACULDADE DE ARQUITETURA E URBANISMO
414931,ARQUIVOLOGIA,1370,ANDRE PORTO ANCONA LOPEZ,ATIVO,,Bacharel,Presencial,Ciências Sociais Aplicadas,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,674,FACULDADE DE CIÊNCIA DA INFORMAÇÃO,,2006-08-21,157,2011-08-04,309,,ARQUIVOLOGIA,NOTURNO,DARCY RIBEIRO,BACHAREL,CIENCIAS SOCIAIS APLICADAS,FACULDADE DE CIENCIA DA INFORMACAO
414437,ARTES CÊNICAS,8146,JOSE FERNANDO MARQUES DE FREITAS FILHO,ATIVO,,Licenciado,Presencial,"Lingüística, Letras e Artes",Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,492,DEPTO ARTES CÊNICAS,,2020-02-19,122200,1980-06-10,371,,ARTES CENICAS,MATUTINO E VESPERTINO,DARCY RIBEIRO,LICENCIADO,"LINGUISTICA, LETRAS E ARTES",DEPTO ARTES CENICAS
702696,ARTES CÊNICAS                                                         ,17198,Moftakharian Jaconelli,ATIVO,,Licenciado,Presencial,"Lingüística, Letras e Artes",Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,492,DEPTO ARTES CÊNICAS,,2020-02-19,122198,1980-06-10,371,,ARTES CENICAS,NOTURNO,DARCY RIBEIRO,LICENCIADO,"LINGUISTICA, LETRAS E ARTES",DEPTO ARTES CENICAS
414436,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL,5262,Watervliet Cansian Incote,ATIVO,,Bacharel,Presencial,"Lingüística, Letras e Artes",Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,492,DEPTO ARTES CÊNICAS,,2019-08-05,22851,2017-08-07,846,,ARTES CENICAS - INTERPRETACAO TEATRAL,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,"LINGUISTICA, LETRAS E ARTES",DEPTO ARTES CENICAS
414552,ARTES VISUAIS,18559,Jesirlene Dinisia Sgaravato,ATIVO,,Bacharel,Presencial,"Lingüística, Letras e Artes",Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,498,DEPTO ARTES VISUAIS,,2013-12-18,300151,2013-11-28,626,,ARTES VISUAIS,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,"LINGUISTICA, LETRAS E ARTES",DEPTO ARTES VISUAIS
